at_utc,date,views,clicks,spend,orders
2026-09-07T18:02:50+00:00,2026-09-06,0,0,0,0
2026-09-07T18:02:50+00:00,2026-09-07,131,5,33.52,0
2026-09-07T18:04:36+00:00,2026-09-06,0,0,0,0
2026-09-07T18:04:36+00:00,2026-09-07,145,5,33.52,0
2026-09-07T18:08:58+00:00,2026-09-06,0,0,0,0
2026-09-07T18:08:58+00:00,2026-09-07,187,8,62.56,0
2026-09-07T18:19:50+00:00,2026-09-06,0,0,0,0
2026-09-07T18:19:50+00:00,2026-09-07,289,12,94.37,0
2026-09-07T18:35:03+00:00,2026-09-06,0,0,0,0
2026-09-07T18:35:03+00:00,2026-09-07,364,16,137.41,0
2026-09-07T18:44:23+00:00,2026-09-06,0,0,0,0
2026-09-07T18:44:23+00:00,2026-09-07,383,17,144.26,0
2026-09-07T19:10:54+00:00,2026-09-06,0,0,0,0
2026-09-07T19:10:54+00:00,2026-09-07,499,21,155.23,0
2026-09-07T21:59:37+00:00,2026-09-07,0,0,0,0
2026-09-07T21:59:37+00:00,2026-09-08,135,3,19.86,0
2026-09-08T00:02:39+00:00,2026-09-07,0,0,0,0
2026-09-08T00:02:39+00:00,2026-09-08,135,3,19.86,0
2026-09-08T04:29:50+00:00,2026-09-07,1034,43,306.67,0
2026-09-08T04:29:50+00:00,2026-09-08,264,7,48.92,0
2026-09-08T08:59:51+00:00,2026-09-07,1034,43,306.67,0
2026-09-08T08:59:51+00:00,2026-09-08,661,31,119.25,0
2026-09-08T13:21:53+00:00,2026-09-07,1034,43,306.67,0
2026-09-08T13:21:53+00:00,2026-09-08,1147,60,197.76,0
